epoch,acc,loss,val_acc,val_loss
0,0.7241204,0.8562209113283761,0.1469042,3.9839955445761994
1,0.80964005,0.5708310422990437,0.042056076,4.54680509210747
2,0.8314013,0.5024617153477664,0.042056076,5.581222186578769
3,0.8538743,0.439296828480981,0.044392522,4.883808176094126
4,0.8643482,0.39307070956109913,0.042056076,9.692387251096351
5,0.87716085,0.36031355688987476,0.066880845,6.58709008671413
6,0.88214356,0.34385590259200166,0.042056076,7.459488681543653
7,0.8916396,0.3140051816771557,0.068049066,7.7506894040330545
8,0.8918671,0.3175476403550814,0.09491822,11.59822816046599
9,0.9058369,0.2725609245279928,0.09491822,15.742736032075971
0,0.25483018159866333,2.1667847633361816,0.215245321393013,2.260249376296997
1,0.3002847135066986,1.9991481304168701,0.20531542599201202,3.2834081649780273
2,0.3307911455631256,1.9138271808624268,0.1334696263074875,3.5937788486480713
