epoch,acc,loss,val_acc,val_loss
0,0.7163688540458679,0.8809988498687744,0.5036057829856873,1.531016230583191
0,0.7068186402320862,0.8779039978981018,0.5423678159713745,1.4188951253890991
1,0.8108441233634949,0.5626479983329773,0.700120210647583,0.8979477286338806
2,0.845964252948761,0.46540528535842896,0.7728365659713745,0.7435895204544067
3,0.860135555267334,0.41362276673316956,0.7638221383094788,0.7860069870948792
4,0.8752310276031494,0.36410796642303467,0.7707331776618958,0.7637202143669128
5,0.8935099840164185,0.3157825469970703,0.7710336446762085,0.7850819826126099
6,0.8803655505180359,0.34272703528404236,0.7439903616905212,0.8942441344261169
7,0.8924830555915833,0.30775341391563416,0.77734375,0.82273268699646
8,0.9067570567131042,0.26697391271591187,0.7692307829856873,0.8160241842269897
